FECHA (YYMMDD);HORA (HHMM);;
050125;1700;847;
050125;1800;688;
050125;1900;493;
050125;2000;277;
050125;2100;81;
050125;2200;1;
050125;2300;0;
050126;0000;;
050126;0100;0;
050126;0200;0;
050126;0300;0;
050126;0400;0;
050126;0500;0;
050126;0600;0;
050126;0700;1;
050126;0800;57;
050126;0900;216;
050126;1000;473;
050126;1100;0;
050126;1200;842;
050126;1300;949;
050126;1400;1009;
050126;1500;1008;
050126;1600;954;
050126;1700;832;
050126;1800;676;
050126;1900;489;
050126;2000;203;
050126;2100;56;
050126;2200;2;
050126;2300;0;
050127;0000;;
050127;0100;0;
050127;0200;0;
050127;0300;0;
050127;0400;0;
050127;0500;0;
050127;0600;0;
050127;0700;0;
050127;0800;50;
050127;0900;95;
050127;1000;251;
050127;1100;427;
050127;1200;351;
050127;1300;463;
050127;1400;793;
050127;1500;1053;
050127;1600;954;
050127;1700;824;
050127;1800;674;
050127;1900;482;
050127;2000;268;
050127;2100;76;
050127;2200;1;
050127;2300;0;
050128;0000;;
050128;0100;0;
050128;0200;0;
050128;0300;0;
050128;0400;0;
050128;0500;0;
050128;0600;0;
050128;0700;1;
050128;0800;22;
050128;0900;108;
050128;1000;285;
050128;1100;375;
050128;1200;446;
050128;1300;536;
050128;1400;409;
050128;1500;269;
050128;1600;441;
050128;1700;545;
050128;1800;611;
050128;1900;397;
050128;2000;208;
050128;2100;78;
050128;2200;1;
050128;2300;0;
050129;0000;;
050129;0100;0;
050129;0200;0;
050129;0300;0;
050129;0400;0;
050129;0500;0;
050129;0600;0;
050129;0700;0;
050129;0800;38;
050129;0900;270;
050129;1000;470;
050129;1100;673;
050129;1200;647;
050129;1300;699;
050129;1400;611;
050129;1500;789;
050129;1600;682;
050129;1700;862;
050129;1800;701;
050129;1900;505;
050129;2000;287;
050129;2100;85;
050129;2200;1;
050129;2300;0;
050130;0000;;
050130;0100;0;
050130;0200;0;
050130;0300;0;
050130;0400;0;
050130;0500;0;
050130;0600;0;
050130;0700;0;
050130;0800;65;
050130;0900;258;
050130;1000;460;
050130;1100;682;
050130;1200;895;
050130;1300;955;
050130;1400;798;
050130;1500;937;
050130;1600;896;
050130;1700;762;
050130;1800;665;
050130;1900;499;
050130;2000;276;
050130;2100;80;
050130;2200;1;
050130;2300;0;
050131;0000;;
050131;0100;0;
050131;0200;0;
050131;0300;0;
050131;0400;0;
050131;0500;0;
050131;0600;0;
050131;0700;0;
050131;0800;65;
050131;0900;274;
050131;1000;458;
050131;1100;662;
050131;1200;834;
050131;1300;952;
050131;1400;1027;
050131;1500;1021;
050131;1600;958;
050131;1700;846;
050131;1800;684;
050131;1900;491;
050131;2000;272;
050131;2100;74;
050131;2200;0;
050131;2300;0;
050201;0000;;
050201;0100;0;
050201;0200;0;
050201;0300;0;
050201;0400;0;
050201;0500;0;
050201;0600;0;
050201;0700;0;
050201;0800;51;
050201;0900;256;
050201;1000;463;
050201;1100;675;
050201;1200;847;
050201;1300;963;
050201;1400;1025;
050201;1500;1023;
050201;1600;959;
050201;1700;839;
050201;1800;;
050201;1900;;
050201;2000;;
050201;2100;;
050201;2200;;
050201;2300;;
050202;0000;;
050202;0100;;
050202;0200;;
050202;0300;;
050202;0400;;
050202;0500;;
050202;0600;;
050202;0700;;
050202;0800;;
050202;0900;;
050202;1000;;
050202;1100;;
050202;1200;;
050202;1300;;
050202;1400;;
050202;1500;;
050202;1600;;
050202;1700;;
050202;1800;;
050202;1900;;
050202;2000;;
050202;2100;;
050202;2200;;
050202;2300;;
050203;0000;;
050203;0100;;
050203;0200;;
050203;0300;;
050203;0400;;
050203;0500;;
050203;0600;;
050203;0700;;
050203;0800;;
050203;0900;;
050203;1000;;
050203;1100;;
050203;1200;;
050203;1300;;
050203;1400;;
050203;1500;;
050203;1600;;
050203;1700;;
050203;1800;;
050203;1900;;
050203;2000;;
050203;2100;;
050203;2200;;
050203;2300;;
050204;0000;;
050204;0100;;
050204;0200;;
050204;0300;;
050204;0400;;
050204;0500;;
050204;0600;;
050204;0700;;
050204;0800;;
050204;0900;;
050204;1000;;
050204;1100;;
050204;1200;;
050204;1300;;
050204;1400;;
050204;1500;;
050204;1600;;
050204;1700;;
050204;1800;;
050204;1900;;
050204;2000;;
050204;2100;;
050204;2200;;
050204;2300;;
050205;0000;;
050205;0100;;
050205;0200;;
050205;0300;;
050205;0400;;
050205;0500;;
050205;0600;;
050205;0700;;
050205;0800;;
050205;0900;;
050205;1000;;
050205;1100;;
050205;1200;;
050205;1300;;
050205;1400;;
050205;1500;;
050205;1600;;
050205;1700;;
050205;1800;;
050205;1900;;
050205;2000;;
050205;2100;;
050205;2200;;
050205;2300;;
050206;0000;;
050206;0100;;
050206;0200;;
050206;0300;;
050206;0400;;
050206;0500;;
050206;0600;;
050206;0700;;
050206;0800;;
050206;0900;;
050206;1000;;
050206;1100;;
050206;1200;;
050206;1300;;
050206;1400;;
050206;1500;;
050206;1600;;
050206;1700;;
050206;1800;;
050206;1900;;
050206;2000;;
050206;2100;;
050206;2200;;
050206;2300;;
050207;0000;;
050207;0100;;
050207;0200;;
050207;0300;;
050207;0400;;
050207;0500;;
050207;0600;;
050207;0700;;
050207;0800;;
050207;0900;;
050207;1000;;
050207;1100;;
050207;1200;;
050207;1300;;
050207;1400;;
050207;1500;;
050207;1600;;
050207;1700;;
050207;1800;;
050207;1900;;
050207;2000;;
050207;2100;;
050207;2200;;
050207;2300;;
050208;0000;;
050208;0100;0;
050208;0200;0;
050208;0300;0;
050208;0400;0;
050208;0500;0;
050208;0600;0;
050208;0700;0;
050208;0800;9;
050208;0900;62;
050208;1000;227;
050208;1100;375;
050208;1200;756;
050208;1300;889;
050208;1400;957;
050208;1500;964;
050208;1600;907;
050208;1700;790;
050208;1800;625;
050208;1900;434;
050208;2000;222;
050208;2100;46;
050208;2200;0;
050208;2300;0;
050209;0000;;
050209;0100;0;
050209;0200;0;
050209;0300;0;
050209;0400;0;
050209;0500;0;
050209;0600;0;
050209;0700;0;
050209;0800;38;
050209;0900;212;
050209;1000;411;
050209;1100;611;
050209;1200;783;
050209;1300;897;
050209;1400;961;
050209;1500;957;
050209;1600;895;
