FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090130;1500;;14,7;;
090130;1600;;8,2;;
090130;1700;;6,7;;
090130;1800;;6,89999;;
090130;1900;;7,1;;
090130;2000;;4,89999;;
090130;2100;;2,9;;
090130;2200;;4,39999;;
090130;2300;;3;;
090131;0000;;3;;
090131;0100;;3,8;;
090131;0200;;2,8;;
090131;0300;;4,3;;
090131;0400;;5,7;;
090131;0500;;9,7;;
090131;0600;;14,6;;
090131;0700;;11;;
090131;0800;;7,1;;
090131;0900;;5,1;;
090131;1000;;11,1;;
090131;1100;;9,89998;;
090131;1200;;19,7;;
090131;1300;;19;;
090131;1400;;13,7;;
090131;1500;;10;;
090131;1600;;5,8;;
090131;1700;;7,3;;
090131;1800;;13,1;;
090131;1900;;16,6;;
090131;2000;;10,8;;
090131;2100;;11,3;;
090131;2200;;10,4;;
090131;2300;;8,79999;;
090201;0000;;7,7;;
090201;0100;;5,39999;;
090201;0200;;3,5;;
090201;0300;;4,8;;
090201;0400;;3,4;;
090201;0500;;7,5;;
090201;0600;;20,5;;
090201;0700;;14,1;;
090201;0800;;8,59998;;
090201;0900;;3,6;;
090201;1000;;4,89999;;
090201;1100;;3,4;;
090201;1200;;8,39998;;
090201;1300;;22,7;;
090201;1400;;21,5;;
090201;1500;;21,3;;
090201;1600;;16,2;;
090201;1700;;16,5;;
090201;1800;;12,4;;
090201;1900;;6,39999;;
090201;2000;;3,4;;
090201;2100;;0,7;;
090201;2200;;3,2;;
090201;2300;;3,2;;
090202;0000;;2,7;;
090202;0100;;3,4;;
090202;0200;;4;;
090202;0300;;5,7;;
090202;0400;;5,1;;
090202;0500;;3,7;;
090202;0600;;5,6;;
090202;0700;;5,5;;
090202;0800;;4,2;;
090202;0900;;3,8;;
090202;1000;;5,8;;
090202;1100;;16,5;;
090202;1200;;17,8;;
090202;1300;;16,6;;
090202;1400;;19,3;;
090202;1500;;10,1;;
090202;1600;;6,2;;
090202;1700;;3,6;;
090202;1800;;4,6;;
090202;1900;;4,6;;
090202;2000;;5,7;;
090202;2100;;19,5;;
090202;2200;;22,8;;
090202;2300;;25,1;;
090203;0000;;14,5;;
090203;0100;;8,59998;;
090203;0200;;6,89999;;
090203;0300;;6,3;;
090203;0400;;5,8;;
090203;0500;;5,8;;
090203;0600;;6,1;;
090203;0700;;19,8;;
090203;0800;;15,4;;
090203;0900;;1,5;;
090203;1000;;7,89999;;
090203;1100;;5,6;;
090203;1200;;8,29999;;
090203;1300;;22,5;;
090203;1400;;22,1;;
090203;1500;;17,5;;
090203;1600;;12,6;;
090203;1700;;10,1;;
090203;1800;;8,79999;;
090203;1900;;5,8;;
090203;2000;;7,3;;
090203;2100;;9,39998;;
090203;2200;;8,09998;;
090203;2300;;6,3;;
090204;0000;;5,89999;;
090204;0100;;4,7;;
090204;0200;;4,89999;;
090204;0300;;3;;
090204;0400;;5;;
090204;0500;;5,7;;
090204;0600;;4;;
090204;0700;;2,1;;
090204;0800;;2,5;;
090204;0900;;6,5;;
090204;1000;;14;;
090204;1100;;22,5;;
090204;1200;;21,8;;
090204;1300;;13,5;;
090204;1400;;11,1;;
090204;1500;;9,09998;;
090204;1600;;7,39999;;
090204;1700;;12,6;;
090204;1800;;7;;
090204;1900;;4,7;;
090204;2000;;8,59998;;
090204;2100;;16,4;;
090204;2200;;9,59998;;
090204;2300;;8,29999;;
090205;0000;;4,89999;;
090205;0100;;5,89999;;
090205;0200;;7;;
090205;0300;;5,7;;
090205;0400;;6,2;;
090205;0500;;3,4;;
090205;0600;;4,2;;
090205;0700;;2,6;;
090205;0800;;5,2;;
090205;0900;;3,1;;
090205;1000;;6,39999;;
090205;1100;;7;;
090205;1200;;12,3;;
090205;1300;;13,1;;
090205;1400;;11,2;;
090205;1500;;7,8;;
090205;1600;;7,5;;
090205;1700;;4,39999;;
090205;1800;;3,8;;
090205;1900;;6,3;;
090205;2000;;4,1;;
090205;2100;;4,6;;
